RegisterNumber,Title,Category,Priority,Status,CreatedDate,Response
KCE26CIVIL001,"Food quality complaint",Hostel,Low,open,2025-02-09,""
KCE26CIVIL002,"Fee payment issue",Accounts,High,in-progress,2025-12-21,""
KCE26CIVIL002,"WiFi issue",Other,High,open,2025-05-15,""
KCE26CIVIL003,"Exam timetable issue",Academic,Medium,closed,2025-02-27,"Your application is approved. You may collect the document from the office."
KCE26CIVIL003,"Fee receipt required",Accounts,High,closed,2025-01-22,"The maintenance team has fixed the issue."
KCE26CIVIL003,"Fee receipt required",Accounts,Medium,in-progress,2025-04-07,""
KCE26CIVIL004,"Hostel maintenance",Hostel,High,open,2025-02-04,""
KCE26CIVIL004,"Fee receipt required",Accounts,High,in-progress,2025-12-15,""
KCE26CIVIL004,"Food quality complaint",Hostel,High,open,2025-09-15,""
KCE26CIVIL005,"Request new journals",Library,Medium,pending,2025-04-21,""
KCE26CIVIL005,"Subject registration",Academic,Low,pending,2025-12-01,""
KCE26CIVIL005,"Bonafide certificate request",Other,High,open,2025-08-16,""
KCE26CIVIL006,"Bus pass renewal",Transport,High,open,2025-07-18,""
KCE26CIVIL007,"Book renewal issue",Library,Low,closed,2025-01-05,"Your request has been processed successfully."
KCE26CIVIL007,"Hostel fee structure",Hostel,High,closed,2025-01-07,"Your payment is confirmed and receipt is available in the dashboard."
KCE26CIVIL007,"Fee payment issue",Accounts,Medium,resolved,2025-04-30,"Your application is approved. You may collect the document from the office."
KCE26CIVIL010,"Bus pass renewal",Transport,High,closed,2025-08-24,"We have updated the records. Please check the portal."
KCE26CIVIL010,"Scholarship enquiry",Accounts,Medium,open,2025-02-02,""
KCE26AIDS001,"Book renewal issue",Library,Medium,closed,2025-07-05,"Your request has been processed successfully."
KCE26AIDS004,"Semester mark revaluation",Academic,Critical,in-progress,2025-12-17,""
KCE26AIDS004,"ID card replacement",Other,Critical,open,2025-11-02,""
KCE26AIDS005,"Subject registration",Academic,Low,pending,2025-05-24,""
KCE26AIDS005,"Hostel maintenance",Hostel,Medium,in-progress,2025-12-22,""
KCE26AIDS006,"Hostel maintenance",Hostel,High,closed,2025-11-22,"This issue has been escalated to the respective department head."
KCE26AIDS006,"Fee receipt required",Accounts,Low,closed,2025-10-12,"Your request has been processed successfully."
KCE26AIDS006,"Bus pass renewal",Transport,Medium,resolved,2025-04-01,"Your request has been processed successfully."
KCE26AIDS007,"Internal mark clarification",Academic,Medium,resolved,2025-05-26,"The maintenance team has fixed the issue."
KCE26AIDS007,"Internal mark clarification",Academic,Low,open,2025-09-06,""
KCE26AIDS008,"Food quality complaint",Hostel,High,closed,2025-10-25,"Your payment is confirmed and receipt is available in the dashboard."
KCE26AIDS008,"Exam timetable issue",Academic,Medium,resolved,2025-02-07,"Your payment is confirmed and receipt is available in the dashboard."
KCE26AIDS010,"WiFi issue",Other,Low,closed,2025-11-27,"This issue has been escalated to the respective department head."
KCE26AIDS010,"Fee payment issue",Accounts,High,pending,2025-10-11,""
KCE26AIDS010,"Transport fee",Transport,Low,closed,2025-07-22,"Your request has been processed successfully."
KCE26AIDS010,"Hostel fee structure",Hostel,Medium,pending,2025-05-11,""
